0,   "0110011", "000", "0000000", 15, 1, 1, 6,        6,        '1'
4,   "0110011", "000", "0000000", 7,  3, 1, 3,        3,        '1'
8,   "0110011", "000", "0000000", 15, 7, 1, 6,        6,        '1'
12,  "0110011", "000", "0000000", 15, 15,1, 9,        9,        '1'
16,  "0110011", "000", "0000000", 15, 31,1, 3,        3,        '1'
20,  "0010011", "000", "0000000", 1,  0, 0, 10,       10,       '1'
24,  "0010011", "000", "0000000", 2,  0, 0, -5,       -5,       '1'
28,  "0010011", "000", "0000000", 3,  1, 0, 12,       12,       '1'
32,  "0000011", "010", "0000000", 2,  0, 0, 0,        869007615,'1'
36,  "0000011", "010", "0000000", 1,  0, 0, 8,        128,      '1'
40,  "0100011", "010", "0000000", 0,  0, 1, 25,       25,       '0'
44,  "0110011", "000", "0100000", 16, 4, 5, -4,       -4,       '1'
48,  "0110011", "100", "0000000", 22, 20,21, 60,       60,       '1'
52,  "0010011", "100", "0000000", 23, 20,0, 10,       10,       '1'
56,  "0110011", "110", "0000000", 22, 20,21, 63,       63,       '1'
60,  "0010011", "110", "0000000", 23, 20,0, 15,       15,       '1'
64,  "0110011", "111", "0000000", 22, 20,21, 3,        3,        '1'
68,  "0010011", "111", "0000000", 23, 20,0, 5,        5,        '1'
72,  "0110011", "001", "0000000", 22, 20,21, 7864320,  7864320,  '1'
76,  "0010011", "001", "0000000", 23, 20,0, 480,      480,      '1'
80,  "0110011", "101", "0000000", 22, 20,21, 0,        0,        '1'
84,  "0010011", "101", "0000000", 23, 20,0, 0,        0,        '1'
88,  "0110011", "101", "0100000", 22, 16,21, -1,       -1,       '1'
92,  "0010011", "101", "0100000", 23, 16,0, -1,       -1,       '1'
96,  "0110011", "010", "0000000", 22, 16,21, 1,        1,        '1'
100, "0010011", "010", "0000000", 23, 20,0, 0,        0,        '1'
104, "0110011", "011", "0000000", 22, 20,21, 1,        1,        '1'
108, "0010011", "011", "0000000", 23, 20,0, 0,        0,        '1'
112, "0000011", "000", "0000010", 24, 0,0, 36,       -16,        '1'
116, "0100011", "000", "0000101",  0, 4,24, 36,        0,        '0'
120, "0000011", "001", "0000010", 24, 0, 0, 36,       240,        '1'
124, "0000011", "101", "0000000", 24, 0, 0, 36,       240,        '1'
128, "0100011", "001", "0000000",  0, 0, 24, 36,       0,        '0'
132, "0000011", "100", "0000000", 24, 0, 0, 36,       240,        '1'
136, "1100011", "000", "0000000", 0, 27, 26, 140,      0,        '0'
140, "1100011", "000", "0000000", 0, 27, 25, 148,      0,        '0'
144, "1100011", "001", "0000000", 0, 25, 26, 152,      0,        '0'
152, "1100011", "100", "0000000", 0, 25, 26, 160,      0,        '0'
160, "1100011", "101", "0000000", 0, 27, 25, 168,      0,        '0
168, "1100011", "101", "0000000", 0, 25, 25, 176,      0,        '0'
176, "1100011", "101", "0000000", 0, 25, 26, 184,      0,        '0'
180, "1100011", "101", "0000000", 0, 28, 29, 188,      0,        '0'
188, "1100011", "101", "0000000", 0, 29, 29, 196,      0,        '0'
196, "1100011", "101", "0000000", 0, 28, 29, 204,      0,        '0'
204, "1100011", "110", "0000000", 0, 25, 26, 212,      0,        '0'
212, "1100011", "110", "0000000", 0, 27, 25, 220,      0,'0'
216, "1100011", "111", "0000000", 0, 27, 25, 224,      0,'0'
224, "1100011", "111", "0000000", 0, 25, 25, 232,      0,'0'
232, "1100011", "111", "0000000", 0, 25, 26, 240,      0,'0'
